dt,program_title,device_name,country_code,product_type,unique_users,content_count
2018-10-01,Deadpool 2,samsung2016xdk,no,tvod,39,39
2018-10-01,S.W.A.T.,pcdash,dk,svod,39,42
2018-10-01,Lethal Weapon,ios,dk,svod,39,40
2018-10-01,Robinson Ekspeditionen,lg2016xdk,dk,svod,39,39
2018-10-01,Solo: A Star Wars Story,chromecast,se,tvod,39,39
2018-10-01,The Walking Dead,ios,se,svod,38,40
2018-10-01,SpongeBob SquarePants,ios,se,svod,38,44
2018-10-01,Lethal Weapon,ios,se,svod,38,42
2018-10-01,The Fosters,pchls,dk,svod,38,42
2018-10-01,Deadpool 2,lg2016xdk,fi,tvod,38,38
2018-10-01,Blaze and the Monster Machines,ios,se,svod,38,43
2018-10-01,Solo: A Star Wars Story,androiddash,se,tvod,38,38
2018-10-01,Seinfeld,ios,se,svod,38,45
2018-10-01,Lethal Weapon,pcdash,dk,svod,37,41
2018-10-01,Barclays Premier League Football Live,androiddash,se,svod,37,37
2018-10-01,Solo: A Star Wars Story,androiddash,fi,tvod,37,37
2018-10-01,Deadpool 2,samsung2013xdk,se,tvod,37,37
2018-10-01,Family Guy,ios,dk,svod,37,42
2018-10-01,Robinson Ekspeditionen,androidxdk,dk,svod,37,39
2018-10-01,"Nicky, Ricky, Dicky & Dawn",ios,dk,svod,37,49
2018-10-01,Family Guy,androiddash,se,svod,37,55
2018-10-01,Fireman Sam,ios,se,svod,37,45
2018-10-01,Lethal Weapon,pcdash,se,svod,36,38
2018-10-01,The Fosters,pcdash,se,svod,36,41
2018-10-01,Seinfeld,pcdash,se,svod,36,51
2018-10-01,Scrubs,atv,se,svod,35,40
2018-10-01,The Thundermans,atv,se,svod,35,46
2018-10-01,Askeladden - I Dovregubbens hall,atv,no,tvod,35,35
2018-10-01,S.W.A.T.,ios,dk,svod,35,38
2018-10-01,Hånd i hånd,chromecast,dk,svod,35,35
2018-10-01,Luksusfælden,atv,dk,svod,35,37
2018-10-01,Family Guy,androiddash,fi,svod,35,47
2018-10-01,Coco,ios,no,svod,35,35
2018-10-01,Seinfeld,chromecast,se,svod,35,44
2018-10-01,Dora the Explorer,atv,se,svod,35,38
2018-10-01,KHL,ps4xdk,fi,svod,35,35
2018-10-01,Scrubs,pcdash,dk,svod,34,44
